freq,unit,accident,victim,pers_cat,geo\TIME_PERIOD	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NR,TOTAL,KIL,TOTAL,LV	30 	28 	29 	17 	22 	13 	18 	14 	15 	9 	15 	16 	12 	13 	6 	6 	13 	4 
A,NR,TOTAL,KIL,TOTAL,ME	: 	: 	: 	: 	: 	: 	: 	2 	6 	1 	5 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,KIL,TOTAL,MK	: 	: 	: 	7 	0 	5 	14 	8 	18 	22 	6 	2 	6 	: 	: 	: 	: 	: 
A,NR,TOTAL,KIL,TOTAL,NL	16 	20 	20 	14 	10 	14 	16 	17 	9 	18 	8 	12 	16 	11 	8 	11 	4 	10 
A,NR,TOTAL,KIL,TOTAL,NO	1 	1 	1 	3 	9 	6 	1 	4 	1 	2 	3 	3 	5 	2 	1 	0 	7 	4 
A,NR,TOTAL,KIL,TOTAL,PL	311 	357 	308 	365 	283 	320 	271 	227 	206 	227 	167 	171 	195 	160 	148 	148 	165 	159 
A,NR,TOTAL,KIL,TOTAL,PT	53 	58 	42 	32 	22 	14 	24 	26 	19 	18 	25 	20 	18 	32 	27 	18 	12 	19 
A,NR,TOTAL,KIL,TOTAL,RO	130 	186 	208 	150 	139 	100 	126 	101 	96 	81 	87 	59 	60 	76 	79 	70 	82 	77 
A,NR,TOTAL,KIL,TOTAL,SE	19 	23 	13 	19 	42 	24 	15 	17 	25 	16 	13 	14 	9 	16 	4 	13 	8 	15 
A,NR,TOTAL,KIL,TOTAL,SI	22 	17 	13 	11 	14 	4 	5 	5 	3 	1 	5 	5 	5 	2 	2 	2 	3 	7 
A,NR,TOTAL,KIL,TOTAL,SK	103 	57 	58 	73 	58 	49 	68 	55 	76 	51 	26 	30 	30 	31 	27 	31 	18 	37 
A,NR,TOTAL,KIL,TOTAL,TR	101 	108 	111 	89 	69 	71 	55 	45 	65 	50 	81 	40 	76 	: 	32 	29 	: 	: 
A,NR,TOTAL,KIL,TOTAL,UK	33 	58 	58 	53 	25 	55 	42 	34 	25 	23 	28 	41 	30 	22 	18 	: 	: 	: 
A,NR,TOTAL,KIL,UA_PER,AT	0 	14 	18 	19 	17 	12 	17 	4 	10 	8 	16 	10 	9 	6 	2 	6 	2 	5 
